transaction_id,timestamp,account_id,merchant,category,amount,country,channel
T004095,2025-03-03 14:50:00,A0094,BestBuy,Electronics,255.85,US,atm
T000036,2025-05-19 20:00:00,A0013,Walmart,Retail,370.91,US,in_store
T004803,2025-03-28 17:01:00,A0096,Apple,Electronics,46.15,DE,online
T003985,2025-03-10 20:08:00,A0066,Walmart,Retail,56.74,US,atm
T002959,2025-01-08 11:15:00,A0031,BestBuy,Electronics,218.78,US,online
T002463,2025-04-14 07:04:00,A0192,Delta Airlines,Travel,383.08,US,in_store
T005007,2025-03-22 21:00:00,A0060,Apple,Electronics,5000,US,online
T003752,2025-03-08 08:40:00,A0181,Target,Retail,171.18,US,atm
T002215,2025-02-07 14:40:00,A0120,Apple,Electronics,224.33,US,mobile
T002036,2025-05-11 10:09:00,A0102,Marriott,Travel,92.63,US,in_store
T002934,2025-02-17 08:16:00,A0134,Target,Retail,393.4,US,in_store
T003262,2025-03-26 15:47:00,A0197,Target,Retail,58.63,US,online
T003032,2025-03-24 14:35:00,A0152,Target,Retail,146.31,US,online
T002736,2025-01-13 14:37:00,A0030,Target,Retail,268.28,US,atm
T004787,2025-03-04 11:30:00,A0033,Target,Retail,34.56,US,atm
T000382,2025-05-07 09:04:00,A0069,Starbucks,Food,176.7,US,atm
T001217,2025-05-17 09:01:00,A0169,Uber,Travel,315.77,US,mobile
T001992,2025-03-27 17:04:00,A0148,BestBuy,Electronics,34.84,US,online
T000426,2025-02-07 18:20:00,A0064,Shell,Fuel,305.78,US,mobile
T001324,2025-02-11 09:53:00,A0072,Amazon,Retail,244.76,US,atm
T003460,2025-01-31 09:15:00,A0015,Target,Retail,163.59,US,mobile
T004810,2025-01-07 14:05:00,A0058,Starbucks,Food,73.47,US,online
T004654,2025-03-27 11:26:00,A0165,Walmart,Retail,70.47,US,mobile
T000441,2025-02-04 17:43:00,A0199,Starbucks,Food,32.02,US,online
T001661,2025-02-07 14:43:00,A0176,Starbucks,Food,211.66,US,in_store
T000067,2025-02-02 10:26:00,A0142,Marriott,Travel,376.44,US,in_store
T003274,2025-05-25 10:10:00,A0026,Uber,Travel,151.64,MX,in_store
T001153,2025-05-31 18:29:00,A0081,Marriott,Travel,182.73,US,atm
T002062,2025-04-02 20:43:00,A0065,Netflix,Subscription,144.19,US,atm
T003623,2025-04-22 18:38:00,A0178,Shell,Fuel,347.45,CA,in_store
T000398,2025-01-07 14:06:00,A0089,Uber,Travel,169.31,US,online
T003144,2025-01-12 12:51:00,A0083,Starbucks,Food,111.71,US,in_store
T001567,2025-05-24 19:57:00,A0003,Delta Airlines,Travel,83.43,CA,in_store
T004265,2025-04-22 08:30:00,A0144,BestBuy,Electronics,217.14,US,atm
T000927,2025-03-22 15:43:00,A0174,Amazon,Retail,43.46,US,atm
T000942,2025-05-28 07:32:00,A0101,BestBuy,Electronics,376.26,US,mobile
T000411,2025-02-06 15:24:00,A0178,Apple,Electronics,240.59,US,mobile
T004274,2025-03-31 15:24:00,A0118,Target,Retail,24.27,US,mobile
T003464,2025-05-04 12:14:00,A0026,BestBuy,Electronics,163.31,US,atm
T002428,2025-04-29 08:08:00,A0081,Walmart,Retail,239.89,US,online
T003213,2025-05-12 07:06:00,A0124,Costco,Retail,227.99,US,atm
T002579,2025-01-17 07:07:00,A0100,Apple,Electronics,204.04,US,online
T004873,2025-01-01 18:21:00,A0107,Delta Airlines,Travel,176.81,US,mobile
T001428,2025-04-27 08:16:00,A0103,Marriott,Travel,173.01,US,in_store
T003353,2025-01-10 13:59:00,A0004,Walmart,Retail,323.48,US,mobile
T003885,2025-01-26 16:43:00,A0035,Uber,Travel,370.86,US,in_store
T000432,2025-01-13 07:06:00,A0175,Marriott,Travel,314.64,US,online
T000079,2025-03-03 11:28:00,A0161,Walmart,Retail,286.85,US,atm
T004309,2025-04-27 11:55:00,A0067,Uber,Travel,331.91,US,in_store
T002516,2025-02-18 15:41:00,A0097,Walmart,Retail,162.88,US,in_store
T001277,2025-02-05 13:41:00,A0006,Walmart,Retail,138.66,US,atm
T001809,2025-05-31 19:25:00,A0189,Shell,Fuel,333.43,US,atm
T002320,2025-04-01 20:15:00,A0142,Starbucks,Food,14.07,US,atm
T000414,2025-01-03 14:08:00,A0092,Shell,Fuel,327.01,US,mobile
T000548,2025-02-22 11:41:00,A0174,Apple,Electronics,207.75,MX,online
T001850,2025-02-14 14:47:00,A0126,Marriott,Travel,301.48,US,online
T004909,2025-04-18 17:50:00,A0150,Uber,Travel,162.89,US,mobile
T001933,2025-02-22 16:29:00,A0008,Target,Retail,101.79,US,mobile
T001195,2025-04-19 15:07:00,A0186,BestBuy,Electronics,28.68,US,atm
T002733,2025-02-08 08:22:00,A0112,Delta Airlines,Travel,30.31,US,in_store
T004954,2025-01-30 21:32:00,A0159,Target,Retail,119.77,US,online
T002870,2025-04-04 14:53:00,A0033,Amazon,Retail,285.57,US,online
T000084,2025-05-18 18:47:00,A0108,Costco,Retail,320.95,US,mobile
T003150,2025-04-12 14:06:00,A0046,Shell,Fuel,176.45,US,online
T001835,2025-02-09 08:46:00,A0020,Shell,Fuel,115.59,US,online
T000705,2025-02-14 13:32:00,A0067,Walmart,Retail,225.66,US,atm
T000405,2025-04-20 13:00:00,A0152,BestBuy,Electronics,89.84,US,online
T001175,2025-01-30 16:14:00,A0111,Walmart,Retail,226.98,US,atm
T003000,2025-05-04 20:43:00,A0039,Starbucks,Food,293.15,US,atm
T000182,2025-05-03 20:25:00,A0016,Apple,Electronics,276.01,US,mobile
T001702,2025-01-07 17:42:00,A0150,Walmart,Retail,85.4,US,online
T003134,2025-04-13 11:55:00,A0164,Apple,Electronics,300.83,MX,online
T002778,2025-01-25 13:20:00,A0158,Marriott,Travel,17.47,US,atm
T000390,2025-01-18 20:54:00,A0075,Apple,Electronics,270.83,US,atm
T004524,2025-03-12 09:52:00,A0065,Amazon,Retail,95.78,CA,mobile
T000408,2025-04-10 16:25:00,A0153,Delta Airlines,Travel,50.12,US,mobile
T001149,2025-04-20 11:36:00,A0134,Amazon,Retail,222.64,US,online
T000723,2025-04-13 11:28:00,A0094,Starbucks,Food,230.71,US,in_store
T002272,2025-05-02 20:51:00,A0066,Apple,Electronics,302.4,DE,online
T004778,2025-02-23 07:28:00,A0126,Marriott,Travel,269.62,US,mobile
T001395,2025-01-30 16:23:00,A0191,Starbucks,Food,342.07,US,online
T000632,2025-04-03 11:13:00,A0085,Delta Airlines,Travel,214.55,US,online
T000538,2025-02-04 11:47:00,A0059,Target,Retail,310.74,US,atm
T002039,2025-02-10 08:43:00,A0096,Starbucks,Food,255.79,US,in_store
T002444,2025-01-02 17:33:00,A0105,Uber,Travel,232.79,GB,in_store
T002179,2025-01-13 18:05:00,A0054,Apple,Electronics,131.56,US,in_store
T004564,2025-03-08 17:03:00,A0082,BestBuy,Electronics,368.83,US,in_store
T002024,2025-04-14 11:56:00,A0184,Delta Airlines,Travel,46.57,US,atm
T003364,2025-02-20 17:47:00,A0080,Uber,Travel,37.49,CA,in_store
T003849,2025-05-28 15:56:00,A0196,Netflix,Subscription,300.44,US,atm
T004505,2025-03-09 11:33:00,A0098,Costco,Retail,137.85,US,mobile
T003904,2025-02-26 07:52:00,A0029,Apple,Electronics,206.15,US,in_store
T002172,2025-02-19 14:18:00,A0142,Uber,Travel,37.91,US,online
T000972,2025-02-20 18:43:00,A0108,Netflix,Subscription,95.87,US,atm
T004026,2025-05-13 12:19:00,A0033,Apple,Electronics,47.07,US,online
T004285,2025-04-10 14:26:00,A0122,Costco,Retail,192.75,US,atm
T002328,2025-03-29 12:01:00,A0135,Target,Retail,205.49,US,mobile
T001548,2025-04-27 12:10:00,A0025,Uber,Travel,68.78,US,atm
T003517,2025-01-05 20:51:00,A0200,Amazon,Retail,234.71,US,mobile
T001246,2025-03-12 10:54:00,A0134,Marriott,Travel,14.13,US,atm
T003004,2025-03-30 12:45:00,A0160,Starbucks,Food,209.65,US,in_store
T000863,2025-01-02 08:43:00,A0197,Netflix,Subscription,139.84,CA,online
T000707,2025-04-24 13:36:00,A0178,Target,Retail,309.14,CA,atm
T002193,2025-01-07 20:08:00,A0108,Netflix,Subscription,155.68,US,in_store
T003712,2025-01-22 13:25:00,A0107,Starbucks,Food,7.93,US,atm
T001401,2025-02-25 14:18:00,A0162,BestBuy,Electronics,386.77,US,atm
T004905,2025-02-11 19:16:00,A0182,Amazon,Retail,306.5,US,atm
T004199,2025-03-22 13:55:00,A0162,Shell,Fuel,42.41,US,in_store
T000379,2025-05-22 08:38:00,A0091,Delta Airlines,Travel,314.85,US,online
T001674,2025-05-29 15:23:00,A0063,Starbucks,Food,250.25,US,atm
T003367,2025-01-15 10:10:00,A0014,Amazon,Retail,399.8,US,online
T000725,2025-02-08 14:51:00,A0038,Amazon,Retail,74.76,US,in_store
T000731,2025-03-25 17:32:00,A0091,Target,Retail,311.02,US,online
T001171,2025-02-11 16:13:00,A0121,Uber,Travel,277.83,US,mobile
T004806,2025-01-09 14:27:00,A0157,Delta Airlines,Travel,192.87,US,online
T004824,2025-02-07 21:25:00,A0132,Marriott,Travel,289.22,US,mobile
T003339,2025-01-23 07:05:00,A0118,BestBuy,Electronics,352.2,US,in_store
T001043,2025-01-12 08:19:00,A0065,Marriott,Travel,9.06,US,online
T000551,2025-03-06 10:29:00,A0118,Uber,Travel,272.49,US,mobile
T001498,2025-05-06 18:11:00,A0146,Marriott,Travel,116.41,US,in_store
T001558,2025-04-13 12:04:00,A0052,Netflix,Subscription,140.26,US,mobile
T000016,2025-02-26 09:32:00,A0093,Target,Retail,40.91,US,online
T003395,2025-04-05 21:04:00,A0026,Apple,Electronics,193.13,US,mobile
T003202,2025-03-20 16:05:00,A0093,Uber,Travel,182.05,US,atm
T001549,2025-01-23 08:11:00,A0091,BestBuy,Electronics,309.92,US,mobile
T003716,2025-04-09 15:28:00,A0014,Netflix,Subscription,210.8,US,in_store
T004561,2025-05-25 07:36:00,A0155,Amazon,Retail,282.75,US,online
T000552,2025-01-27 07:32:00,A0150,Marriott,Travel,386.76,US,atm
T002745,2025-02-16 10:47:00,A0112,BestBuy,Electronics,386.98,US,atm
T000694,2025-02-28 14:50:00,A0192,BestBuy,Electronics,379.95,US,in_store
T000715,2025-05-07 16:00:00,A0021,Costco,Retail,383.41,US,atm
T000821,2025-05-19 09:13:00,A0115,Marriott,Travel,59.74,US,in_store
T000945,2025-03-19 13:03:00,A0175,Marriott,Travel,398.82,US,online
T003907,2025-02-04 15:09:00,A0125,Amazon,Retail,191.33,US,in_store
T001150,2025-04-19 13:06:00,A0131,Target,Retail,266.04,US,atm
T003837,2025-02-02 10:19:00,A0086,Starbucks,Food,202.74,US,atm
T003834,2025-02-23 11:34:00,A0030,Uber,Travel,87.58,US,online
T004595,2025-01-10 17:37:00,A0090,Apple,Electronics,136.96,US,in_store
T001793,2025-04-29 12:42:00,A0046,Walmart,Retail,142.29,US,in_store
T000337,2025-01-12 13:28:00,A0190,Shell,Fuel,218.21,CA,online
T003617,2025-03-21 08:34:00,A0082,Uber,Travel,393.96,GB,in_store
T000189,2025-05-24 15:21:00,A0151,Marriott,Travel,53.28,US,mobile
T004080,2025-05-07 13:18:00,A0083,Amazon,Retail,221.87,US,atm
T002212,2025-01-16 18:56:00,A0076,Shell,Fuel,211.78,US,atm
T001764,2025-01-26 09:55:00,A0191,Amazon,Retail,334.37,US,in_store
T002334,2025-01-23 13:16:00,A0109,Netflix,Subscription,95.28,US,atm
T004672,2025-02-09 20:30:00,A0160,Marriott,Travel,325.77,US,mobile
T000475,2025-01-25 15:08:00,A0149,Marriott,Travel,328.89,US,online
T002381,2025-03-25 16:24:00,A0041,Walmart,Retail,44.76,US,online
T004355,2025-05-11 07:13:00,A0055,Netflix,Subscription,52.9,CA,atm
T004078,2025-03-16 16:37:00,A0119,Shell,Fuel,324.33,US,online
T002823,2025-04-09 16:50:00,A0009,Shell,Fuel,133.37,US,in_store
T001253,2025-05-03 13:51:00,A0008,Amazon,Retail,239.05,US,atm
T001917,2025-05-27 08:40:00,A0170,Target,Retail,226.72,US,online
T002322,2025-01-24 16:47:00,A0042,Delta Airlines,Travel,391.58,US,mobile
T000800,2025-02-03 19:08:00,A0199,Target,Retail,225.92,US,mobile
T005103,2025-02-02 04:00:00,A0056,Uber,Travel,896.97,NG,online
T003831,2025-02-04 20:08:00,A0033,Uber,Travel,19.76,US,in_store
T004253,2025-03-12 11:47:00,A0055,BestBuy,Electronics,246.16,US,mobile
T000073,2025-04-17 21:40:00,A0117,Delta Airlines,Travel,81.8,US,mobile
T000565,2025-01-21 14:21:00,A0200,Marriott,Travel,394.72,US,online
T001792,2025-03-15 13:28:00,A0029,Netflix,Subscription,102.72,US,online
T001953,2025-01-31 17:12:00,A0156,Netflix,Subscription,202.02,US,online
T002429,2025-02-04 14:31:00,A0152,Costco,Retail,398.47,CA,atm
T000938,2025-04-11 09:41:00,A0052,Target,Retail,47.83,US,mobile
T003929,2025-04-18 14:15:00,A0085,Shell,Fuel,183.68,US,atm
T000343,2025-02-27 11:54:00,A0062,BestBuy,Electronics,62.02,US,online
T002998,2025-04-02 20:09:00,A0196,Target,Retail,373.31,US,online
T001736,2025-04-08 14:47:00,A0042,Shell,Fuel,57.09,US,atm
T000072,2025-01-07 07:15:00,A0038,Target,Retail,246.45,DE,online
T000541,2025-03-21 18:32:00,A0017,Apple,Electronics,58.58,US,online
T003249,2025-03-03 14:31:00,A0131,Starbucks,Food,185.49,US,mobile
T001319,2025-03-25 13:28:00,A0130,Starbucks,Food,104.84,US,online
T003593,2025-01-03 12:39:00,A0076,BestBuy,Electronics,261.34,US,in_store
T003924,2025-03-03 20:46:00,A0065,Apple,Electronics,240.52,US,atm
T005067,2025-05-21 05:03:00,A0008,Apple,Electronics,666.09,US,online
T000417,2025-04-28 16:47:00,A0200,Target,Retail,222.14,US,online
